ProducerRecord(topic=test, partition=null, key=null, value=/subject/200084!@#18：与你相连的拼图游戏!@#18if!@#13话 / 2017年7月7日!@#http://lain.bgm.tv/pic/cover/s/79/4b/200084_mCew1.jpg!@#http://bangumi.tv/subject/200084
num_of_pages: 2
ProducerRecord(topic=test, partition=null, key=null, value=/subject/199743!@#19/2000!@#o_o ....!@#2001-06-25!@#http://lain.bgm.tv/pic/cover/s/67/dc/199743_AzvLQ.jpg!@#http://bangumi.tv/subject/199743
ProducerRecord(topic=test, partition=null, key=null, value=/subject/81299!@#1磅的福音!@#1ポンドの福音!@#1话 / 1988-12-02!@#http://lain.bgm.tv/pic/cover/s/4c/ee/81299_atLlf.jpg!@#http://bangumi.tv/subject/81299
ProducerRecord(topic=test, partition=null, key=null, value=/subject/30711!@#1区212!@#1区212!@#60话 / 2013!@#null!@#http://bangumi.tv/subject/30711
ProducerRecord(topic=test, partition=null, key=null, value=/subject/92942!@#1月にはChristmas!@#o_o ....!@#1话 / 1991年11月21日!@#http://lain.bgm.tv/pic/cover/s/c9/b4/92942_xQ5F1.jpg!@#http://bangumi.tv/subject/92942
ProducerRecord(topic=test, partition=null, key=null, value=/subject/36114!@#两头笨狗!@#2 Stupid Dogs!@#26话 / 1993-09-05!@#http://lain.bgm.tv/pic/cover/s/ae/f9/36114_S9gr6.jpg!@#http://bangumi.tv/subject/36114
ProducerRecord(topic=test, partition=null, key=null, value=/subject/210803!@#2005年宇宙之旅!@#2005年宇宙の旅!@#2005!@#http://lain.bgm.tv/pic/cover/s/39/8a/210803_YK7Ru.jpg!@#http://bangumi.tv/subject/210803
ProducerRecord(topic=test, partition=null, key=null, value=/subject/121745!@#2112年哆啦A梦的诞生!@#2112年 ドラえもん誕生!@#1995年3月4日!@#http://lain.bgm.tv/pic/cover/s/15/9f/121745_49X43.jpg!@#http://bangumi.tv/subject/121745
ProducerRecord(topic=test, partition=null, key=null, value=/subject/75184!@#21卫门!@#21エモン!@#39话 / 1991年5月2日!@#http://lain.bgm.tv/pic/cover/s/91/0d/75184_57PiN.jpg!@#http://bangumi.tv/subject/75184
